"FIPS","county_area_sq_mi"
"05075",587.61
"05077",602.62
"05079",561.52
"05081",532.25
"05083",708.13
"05085",770.73
"05087",834.26
"05089",597.01
"05091",625.58
"05093",900.57
"05095",607.12
"05097",779.88
"05099",617.84
"05101",820.9
"05103",732.78
"05105",551.4
"05107",695.66
"05109",600.62
"05111",758.39
"05113",857.68
"05115",812.55
"05117",647.96
"05119",759.76
"05121",652.19
"05123",634.77
"05125",723.6
"05127",892.32
"05129",666.1
"05131",531.91
"05133",565.13
"05135",604.44
"05137",606.41
"05139",1039.21
"05141",708.14
"05143",941.97
"05145",1035.08
"05147",586.79
"05149",929.98
"06000",155779.22
"06001",739.02
"06003",738.33
"06005",594.58
"06007",1636.46
"06009",1020.01
"06011",1150.73
"06013",715.94
"06015",1006.37
"06017",1707.88
"06019",5957.99
"06021",1313.95
"06023",3567.99
"06025",4176.6
"06027",10180.88
"06029",8131.92
"06031",1389.42
"06033",1256.46
"06035",4541.18
"06037",4057.88
"06039",2137.07
"06041",520.31
"06043",1448.82
"06045",3506.34
"06047",1934.97
"06049",3917.77
"06051",3048.98
"06053",3280.6
"06055",748.36
"06057",957.77
"06059",790.57
"06061",1407.01
"06063",2553.04
"06065",7206.48
"06067",964.64
"06069",1388.71
"06071",20056.94
"06073",4206.63
"06075",46.87
"06077",1391.32
"06079",3298.57
"06081",448.41
"06083",2735.09
"06085",1290.1
"06087",445.17
"06089",3775.4
"06091",953.21
"06093",6277.89
"06095",821.77
"06097",1575.85
"06099",1494.83
"06101",602.41
"06103",2949.71
"06105",3179.25
"06107",4824.22
"06109",2220.88
"06111",1843.13
"06113",1014.69
"06115",631.84
"08000",103641.89
"08001",1167.65
"08003",722.64
"08005",798.1
"08007",1350.18
"08009",2554.97
"08011",1512.86
"08013",726.29
"08014",33.03
"08015",1013.4
"08017",1778.28
"08019",395.23
"08021",1287.39
"08023",1226.95
"08025",787.42
"08027",738.63
"08029",1142.05
"08031",153
"08033",1067.05
"08035",840.25
"08037",1684.53
"08039",1850.85
"08041",2126.8
"08043",1533.07
"08045",2947.56
"08047",149.9
"08049",1846.33
"08051",3239.1
"08053",1117.25
"08055",1591
"08057",1613.72
"08059",764.21
"08061",1767.77
"08063",2160.82
"08065",376.91
"08067",1692.08
"08069",2596
"08071",4772.67
"08073",2577.63
"08075",1838.55
"08077",3328.97
"08079",875.67
"08081",4743.29
"08083",2029.53
"08085",2240.7
"08087",1280.43
"08089",1261.96
"08091",541.59
"08093",2193.85
"08095",687.93
"08097",970.7
"08099",1638.4
"08101",2386.1
"08103",3220.93
"08105",911.96
"08107",2362.03
"08109",3168.53
"08111",387.49
"08113",1286.61
"08115",548.04
"08117",608.36
"08119",557.06
"08121",2518.03
"08123",3987.24
"08125",2364.41
"09000",4842.36
"09001",624.89
"09003",735.1
"09005",920.56
"09007",369.3
"09009",604.51
"09011",664.88
"09013",410.21
"09015",512.91
"10000",1948.54
"10001",586.18
"10003",426.29
"10005",936.08
"11000",61.05
"11001",61.05
"12000",53624.76
"12001",875.02
"12003",585.23
"12005",758.46
"12007",293.96
"12009",1015.66
"12011",1209.79
"12013",567.33
"12015",680.28
"12017",581.7
"12019",604.36
"12021",1998.32
"12023",797.57
"12027",637.06
"12029",705.05
"12031",762.19
"12033",656.46
"12035",485.46
"12037",534.73
"12039",516.33
"12041",349.68
"12043",806.01
"12045",564.01
"12047",513.79
"12049",637.78
"12051",1152.75
"12053",472.54
"12055",1016.62
"12057",1020.21
"12059",478.78
"12061",502.87
"12063",917.76
"12065",598.1
"12067",543.41
"12069",938.38
"12071",784.51
"12073",666.85
"12075",1118.21
"12077",835.56
"12079",695.95
"12081",742.93
"12083",1584.55
"12085",543.46
"12086",1897.72
"12087",983.28
"12089",648.64
"12091",930.25
"12093",768.91
"12095",903.43
"12097",1327.45
"12099",1969.76
"12101",746.89
"12103",273.8
"12105",1797.84
"12107",727.62
"12109",600.66
"12111",571.93
"12113",1011.61
"12115",555.87
"12117",309.22
"12119",546.93
"12121",688.55
"12123",1043.31
"12125",243.56
"12127",1101.03
"12129",606.42
"12131",1037.63
"12133",582.8
"13000",57513.49
"13001",507.08
"13003",339.38
"13005",258.58
"13007",341.94
"13009",257.84
"13011",232.09
"13013",160.31
"13015",459.54
"13017",250.12
"13019",451.9
"13021",249.76
"13023",215.87
"13025",442.36
"13027",493.05
"13029",435.97
"13031",672.81
"13033",826.97
"13035",184.39
"13037",280.37
"13039",613.03
"13043",243.04
"13045",499.08
"13047",162.16
"13049",773.58
"13051",426.44
"13053",248.74
"13055",313.34
"13057",421.67
"13059",119.2
"13061",195.38
"13063",141.57
"13065",800.22
"13067",339.55
"13069",575.1
"13071",544.15
"13073",290.09
"13075",227.16
"13077",440.89
"13079",324.89
"13081",272.58
"13083",173.98
"13085",210.83
"13087",597.14
"13089",267.58
"13091",495.89
"13093",391.94
"13095",328.69
"13097",200.07
"13099",512.59
"13101",414.89
"13103",477.7
"13105",351.06
"13107",680.6
"13109",182.85
"13111",386.72
"13113",194.34
"13115",509.91
"13117",224.02
"13119",261.5
"13121",526.64
"13123",426.54
"13125",143.74
"13127",419.75
"13129",355.81
"13131",454.53
"13133",387.44
"13135",430.38
"13137",276.74
"13139",392.78
"13141",471.84
"13143",282.17
"13145",463.87
"13147",232.39
"13149",296.03
"13151",322.13
"13153",375.54
"13155",354.34
"13157",339.66
"13159",368.17
"13161",330.74
"13163",526.49
"13165",347.28
"13167",303.01
"13169",393.93
"13171",183.5
"13173",185.26
"13175",807.3
"13177",355.78
"13179",489.8
"13181",210.38
"13183",400.29
"13185",496.07
"13187",282.93
"13189",257.46
"13191",424.3
"13193",400.64
"13195",282.31
"13197",366
"13199",501.22
"13201",282.42
